iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FN	F1_TP+FP
544	260	288	260	340	260	340	288
545	260	288	260	340	260	340	288
546	260	288	260	340	260	340	288
547	260	288	260	340	260	340	288
548	260	288	260	340	260	340	288
549	260	288	260	340	260	340	288
550	260	288	260	340	260	340	288
551	260	289	260	340	260	340	289
552	260	289	260	340	260	340	289
553	261	290	261	340	261	340	290
554	261	290	261	340	261	340	290
555	261	290	261	340	261	340	290
556	261	290	261	340	261	340	290
557	262	290	262	340	262	340	290
558	262	290	262	340	262	340	290
559	262	290	262	340	262	340	290
560	262	290	262	340	262	340	290
561	262	290	262	340	262	340	290
562	262	291	262	340	262	340	291
563	262	291	262	340	262	340	291
564	262	291	262	340	262	340	291
565	262	291	262	340	262	340	291
566	262	291	262	340	262	340	291
567	262	291	262	340	262	340	291
568	262	291	262	340	262	340	291
569	262	291	262	340	262	340	291
570	261	289	261	340	261	340	289
571	261	289	261	340	261	340	289
572	261	289	261	340	261	340	289
573	261	289	261	340	261	340	289
574	261	289	261	340	261	340	289
575	261	290	261	340	261	340	290
576	261	290	261	340	261	340	290
577	263	292	263	340	263	340	292
578	263	292	263	340	263	340	292
579	264	292	264	340	264	340	292
580	264	292	264	340	264	340	292
581	263	291	263	340	263	340	291
582	264	292	264	340	264	340	292
583	264	292	264	340	264	340	292
584	264	292	264	340	264	340	292
585	264	292	264	340	264	340	292
586	264	292	264	340	264	340	292
587	264	292	264	340	264	340	292
588	264	292	264	340	264	340	292
589	266	294	266	340	266	340	294
590	266	294	266	340	266	340	294
591	266	293	266	340	266	340	293
592	266	293	266	340	266	340	293
593	264	291	264	340	264	340	291
594	264	291	264	340	264	340	291
595	264	291	264	340	264	340	291
596	264	291	264	340	264	340	291
597	264	291	264	340	264	340	291
598	264	291	264	340	264	340	291
599	264	291	264	340	264	340	291
600	264	291	264	340	264	340	291
601	264	291	264	340	264	340	291
602	264	291	264	340	264	340	291
603	265	292	265	340	265	340	292
604	265	292	265	340	265	340	292
605	266	294	266	340	266	340	294
606	266	294	266	340	266	340	294
607	267	295	267	340	267	340	295
608	267	295	267	340	267	340	295
609	267	295	267	340	267	340	295
610	266	294	266	340	266	340	294
611	266	294	266	340	266	340	294
612	266	293	266	340	266	340	293
613	266	293	266	340	266	340	293
614	266	293	266	340	266	340	293
615	266	293	266	340	266	340	293
616	266	294	266	340	266	340	294
617	266	294	266	340	266	340	294
618	266	293	266	340	266	340	293
619	266	293	266	340	266	340	293
620	266	293	266	340	266	340	293
621	266	293	266	340	266	340	293
622	267	294	267	340	267	340	294
623	267	294	267	340	267	340	294
624	267	294	267	340	267	340	294
625	267	294	267	340	267	340	294
626	267	294	267	340	267	340	294
627	267	294	267	340	267	340	294
628	267	294	267	340	267	340	294
629	267	294	267	340	267	340	294
630	267	294	267	340	267	340	294
631	267	294	267	340	267	340	294
632	267	294	267	340	267	340	294
633	267	294	267	340	267	340	294
634	267	294	267	340	267	340	294
635	267	294	267	340	267	340	294
636	267	294	267	340	267	340	294
637	267	294	267	340	267	340	294
638	267	294	267	340	267	340	294
639	267	293	267	340	267	340	293
640	267	293	267	340	267	340	293
641	267	293	267	340	267	340	293
642	267	293	267	340	267	340	293
643	267	293	267	340	267	340	293
644	267	293	267	340	267	340	293
645	267	293	267	340	267	340	293
646	267	293	267	340	267	340	293
647	267	294	267	340	267	340	294
648	267	294	267	340	267	340	294
649	267	294	267	340	267	340	294
650	267	293	267	340	267	340	293
651	267	293	267	340	267	340	293
652	267	293	267	340	267	340	293
653	267	294	267	340	267	340	294
654	267	294	267	340	267	340	294
655	267	294	267	340	267	340	294
656	267	293	267	340	267	340	293
657	267	293	267	340	267	340	293
658	267	294	267	340	267	340	294
659	266	293	266	340	266	340	293
660	266	293	266	340	266	340	293
661	266	293	266	340	266	340	293
662	266	293	266	340	266	340	293
663	266	294	266	340	266	340	294
664	266	294	266	340	266	340	294
665	266	294	266	340	266	340	294
666	266	294	266	340	266	340	294
667	266	294	266	340	266	340	294
668	266	294	266	340	266	340	294
669	266	294	266	340	266	340	294
670	267	295	267	340	267	340	295
671	267	295	267	340	267	340	295
672	267	295	267	340	267	340	295
673	267	296	267	340	267	340	296
674	267	296	267	340	267	340	296
675	267	296	267	340	267	340	296
676	266	295	266	340	266	340	295
677	266	295	266	340	266	340	295
678	265	294	265	340	265	340	294
679	265	294	265	340	265	340	294
680	265	294	265	340	265	340	294
681	266	295	266	340	266	340	295
682	267	296	267	340	267	340	296
683	266	295	266	340	266	340	295
684	266	295	266	340	266	340	295
685	266	295	266	340	266	340	295
686	266	295	266	340	266	340	295
687	266	295	266	340	266	340	295
688	267	296	267	340	267	340	296
689	266	295	266	340	266	340	295
690	266	295	266	340	266	340	295
691	266	295	266	340	266	340	295
692	267	296	267	340	267	340	296
693	265	295	265	340	265	340	295
694	266	296	266	340	266	340	296
695	266	296	266	340	266	340	296
696	266	296	266	340	266	340	296
697	266	296	266	340	266	340	296
698	266	296	266	340	266	340	296
699	266	296	266	340	266	340	296
700	266	296	266	340	266	340	296
701	266	296	266	340	266	340	296
702	266	296	266	340	266	340	296
703	266	295	266	340	266	340	295
704	266	295	266	340	266	340	295
705	266	295	266	340	266	340	295
706	266	296	266	340	266	340	296
707	266	295	266	340	266	340	295
708	266	295	266	340	266	340	295
709	267	296	267	340	267	340	296
710	267	296	267	340	267	340	296
711	268	297	268	340	268	340	297
712	268	297	268	340	268	340	297
713	268	297	268	340	268	340	297
714	267	296	267	340	267	340	296
715	267	296	267	340	267	340	296
716	267	295	267	340	267	340	295
717	266	295	266	340	266	340	295
718	266	295	266	340	266	340	295
719	266	294	266	340	266	340	294
720	266	294	266	340	266	340	294
721	266	294	266	340	266	340	294
722	267	295	267	340	267	340	295
723	267	296	267	340	267	340	296
724	267	296	267	340	267	340	296
725	267	295	267	340	267	340	295
726	267	295	267	340	267	340	295
727	267	295	267	340	267	340	295
728	267	295	267	340	267	340	295
729	267	295	267	340	267	340	295
730	267	295	267	340	267	340	295
731	267	295	267	340	267	340	295
732	267	295	267	340	267	340	295
733	267	295	267	340	267	340	295
734	267	295	267	340	267	340	295
735	267	295	267	340	267	340	295
736	267	295	267	340	267	340	295
737	267	295	267	340	267	340	295
738	266	295	266	340	266	340	295
739	266	295	266	340	266	340	295
740	266	295	266	340	266	340	295
741	266	295	266	340	266	340	295
